DATAFLOW,LAST UPDATE,freq,indic_sb,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,ES11,2013,16698,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,ES12,2013,6213,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,ES13,2013,3225,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,ES21,2013,9192,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,ES22,2013,3463,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,ES23,2013,1931,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,ES24,2013,7698,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,ES30,2013,43572,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,ES41,2013,12363,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,ES42,2013,11663,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,ES43,2013,5979,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,ES51,2013,58230,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,ES52,2013,33706,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,ES53,2013,8759,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,ES61,2013,48531,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,ES62,2013,8669,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,ES63,2013,332,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,ES64,2013,344,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,ES70,2013,12898,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,ESZZ,2013,0,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,NL11,2013,4306,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,NL12,2013,4623,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,NL13,2013,3267,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,NL21,2013,8353,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,NL22,2013,15873,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,NL23,2013,4069,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,NL31,2013,13016,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,NL32,2013,31195,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,NL33,2013,32411,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,NL34,2013,2413,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,NL41,2013,21106,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,NL42,2013,7544,
ESTAT:BD_HGNACE2_R3(1.0),07/12/22 23:00:00,A,V11920,B-S_X_K642,NLZZ,2013,0,
