DATAFLOW,LAST UPDATE,freq,tra_infr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM,ES11,2010,961,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM,ES12,2010,394,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM,ES13,2010,218,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM,ES21,2010,535,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM,ES22,2010,356,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM,ES23,2010,159,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM,ES24,2010,704,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM,ES30,2010,753,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM,ES41,2010,2194,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM,ES42,2010,1775,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM,ES43,2010,668,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM,ES51,2010,1201,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM,ES52,2010,1116,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM,ES53,2010,94,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM,ES61,2010,2391,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM,ES62,2010,527,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM,ES63,2010,0,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM,ES64,2010,0,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM,ES70,2010,217,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM,NL11,2010,95,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM,NL12,2010,196,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM,NL13,2010,128,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM,NL21,2010,147,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM,NL22,2010,393,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM,NL23,2010,99,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM,NL31,2010,177,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM,NL32,2010,283,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM,NL33,2010,361,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM,NL34,2010,63,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM,NL41,2010,490,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM,NL42,2010,216,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,ES11,2010,33,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,ES12,2010,37,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,ES13,2010,41,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,ES21,2010,74,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,ES22,2010,34,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,ES23,2010,32,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,ES24,2010,15,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,ES30,2010,94,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,ES41,2010,23,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,ES42,2010,22,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,ES43,2010,16,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,ES51,2010,38,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,ES52,2010,48,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,ES53,2010,19,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,ES61,2010,28,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,ES62,2010,47,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,ES63,2010,0,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,ES64,2010,0,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,ES70,2010,29,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,NL11,2010,40,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,NL12,2010,58,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,NL13,2010,48,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,NL21,2010,44,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,NL22,2010,79,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,NL23,2010,69,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,NL31,2010,126,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,NL32,2010,103,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,NL33,2010,125,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,NL34,2010,35,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,NL41,2010,99,
ESTAT:TGS00114(1.0),13/10/23 23:00:00,A,MWAY,KM_TKM2,NL42,2010,100,
